cuisine,recipe,ingredients
British,Classic prawn cocktail with toasted rustic bread,"['mayonnaise', 'ketchup', 'cayenne pepper', 'lemon juice', 'Tabasco', 'Worcestershire sauce', 'brandy', 'iceberg lettuce', 'prawns', 'cayenne pepper', 'apple', 'dill', 'lemon', 'ciabatta']"
British,Classic summer berry sorbet,"['summer fruits', 'orange', 'egg whites', 'caster sugar']"
British,Classic beef Wellington with a Madeira jus,"['plain flour', 'salt', 'butter', 'olive oil', 'beef', 'butter', 'Portobello mushrooms', 'tarragon', 'spinach', 'egg yolks', 'plain flour', 'milk', 'chicken liver', 'puff pastry', 'butter', 'shallot', 'Madeira', 'beef stock', 'beef stock', 'black pepper', 'olive oil', 'mushrooms']"
British,Mary Berry's classic Christmas cake,"['raisins', 'glacé cherries', 'currants', 'sultanas', 'brandy', 'oranges', 'butter', 'eggs', 'treacle', 'almonds', 'plain flour', 'mixed spice', 'apricot jam', 'icing sugar', 'marzipan', 'icing sugar', 'lemon juice']"
British,Classic fish pie with peas,"['potatoes', 'vegetable oil', 'rock salt', 'onion', 'black peppercorns', 'bay leaves', 'smoked haddock', 'haddock', 'cod', 'butter', 'plain flour', 'milk', 'lemon', 'parsley', 'prawns', 'cheese', 'peas', 'black pepper']"
British,Chocolate and ginger oat biscuits,"['butter', 'golden syrup', 'brown sugar', 'plain flour', 'baking powder', 'salt', 'ground ginger', 'cinnamon', 'oats', 'eggs', 'stem ginger', 'dark chocolate']"
British,Classic toad in the hole ,"['plain flour', 'eggs', 'wholegrain mustard', 'milk', 'beef dripping', 'sausages', 'stock', 'black pepper', 'butter', 'salt', 'sugar', 'carrots', 'peas']"
British,Victoria sponge cake with homemade strawberry jam,"['sugar', 'lemon', 'strawberries', 'oil', 'flour', 'butter', 'caster sugar', 'vanilla essence', 'eggs', 'self-raising flour', 'double cream', 'strawberries', 'icing sugar']"
British,Clootie pudding,"['plain flour', 'bicarbonate of soda', 'cinnamon', 'ground ginger', 'salt', 'caster sugar', 'suet', 'sultanas', 'currants', 'dates', 'raisins', 'carrot', 'treacle', 'egg', 'buttermilk', 'clotted cream']"
British,Clotted cream rice pudding with raspberries and orange caramel,"['butter', 'pudding rice', 'caster sugar', 'milk', 'double cream', 'vanilla pod', 'clotted cream', 'caster sugar', 'caster sugar', 'orange']"
British,"Cobnut, wild mushroom and chestnut stir fry","['butter', 'onion', 'thyme', 'wild mushrooms', 'cobnuts', 'chestnuts', 'black pepper', 'roast chicken']"
British,Cock-a-leekie soup,"['chicken', 'carrot', 'onion', 'celery', 'leek', 'bouquet garni', 'chicken', 'egg whites', 'leek', 'prunes', 'pepper']"
British,"Cockles, laverbread and Welsh bacon","['laverbread', 'oatmeal', 'white pepper', 'butter', 'leek', 'bacon']"
British,"Coconut rice pudding with mango, orange and lime","['coconut milk', 'milk', 'orange', 'caster sugar', 'vanilla essence', 'cream', 'mango', 'lime', 'brown sugar']"
British,Cod and chips with peas,"['olive oil', 'onion', 'chilli', 'pancetta', 'peas', 'chips', 'vegetable oil', 'rosemary', 'salt', 'self-raising flour', 'cornflour', 'five-spice powder', 'hoki', 'lemon']"
British,Cod with parsley sauce and mash,"['milk', 'onion', 'nutmeg', 'bay leaf', 'peppercorns', 'butter', 'flour', 'parsley', 'black pepper', 'new potatoes', 'celeriac', 'butter', 'double cream', 'black pepper', 'flour', 'black pepper', 'cod', 'vegetable oil', 'butter', 'lemon', 'lemon']"
British,Cod in parsley sauce with cockles and mashed potato,"['cod', 'sea salt', 'butter', 'potatoes', 'butter', 'double cream', 'cockles', 'parsley', 'shallots', 'white wine', 'butter', 'flour', 'double cream', 'milk', 'crème fraîche', 'salt', 'cayenne pepper', 'lemon']"
British,Coffee cake with coffee cream,"['butter', 'caster sugar', 'eggs', 'flour', 'baking powder', 'coffee granules', 'walnut', 'double cream']"
British,Mary Berry's coffee and walnut cake,"['butter', 'caster sugar', 'eggs', 'self-raising flour', 'baking powder', 'walnuts', 'coffee essence', 'butter', 'icing sugar', 'milk', 'coffee essence', 'walnut']"
British,Warm turkey potato salad with anchovies,"['leftover turkey', 'Pink Fir Apple', 'anchovies', 'anchovies', 'garlic', 'spring onions', 'olive oil', 'lemon juice', 'parsley']"
British,Cottage pie with parsnips,"['oil', 'onion', 'carrots', 'beef mince', 'tomatoes', 'beef stock', 'bay leaf', 'thyme', 'tomato purée', 'black pepper', 'potatoes', 'parsnips', 'butter', 'milk']"
British,Compost fruit crumble,"['pears', 'apple', 'nectarines', 'lemon', 'banana', 'caster sugar', 'plain flour', 'butter', 'oats', 'pumpkin seeds', 'almonds', 'sesame seeds', 'demerara sugar', 'custard']"
British,Confit chicken wing with blue cheese mousse and pickled pumpkin,"['cheese', 'double cream', 'butter', 'chicken winglets', 'vegetable oil', 'white wine vinegar', 'olive oil', 'shallot', 'white peppercorns', 'coriander seeds', 'sea salt', 'pumpkin', 'butter', 'pumpkin', 'vegetable stock', 'sea salt', 'seaweed', 'kale', 'seaweed', 'sesame seeds', 'black sesame seeds', 'paprika', 'sunflower seeds', 'pumpkin seeds', 'quinoa']"
British,Grilled corned beef hash,"['oil', 'onion', 'garlic', 'corned beef', 'Worcestershire sauce', 'gherkin', 'wholegrain mustard', 'black pepper', 'butter', 'eggs', 'ketchup']"
British,Corned beef pasties,"['shortcrust pastry', 'onions', 'corned beef', 'ketchup', 'vegetable oil', 'pepper', 'egg']"
British,Corned beef and onion pie,"['butter', 'sunflower oil', 'onion', 'celery', 'carrots', 'potatoes', 'ketchup', 'corned beef', 'black pepper', 'plain flour', 'sea salt', 'butter', 'egg']"
British,Easy corned beef hash,"['butter', 'onions', 'potatoes', 'corned beef', 'Worcestershire sauce', 'parsley', 'black pepper']"
British,Corned beef hash ,"['sunflower oil', 'onion', 'new potatoes', 'corned beef', 'eggs', 'Worcestershire sauce', 'black pepper']"
British,Corned beef hash with fried egg ,"['potatoes', 'olive oil', 'onion', 'corned beef', 'English mustard', 'eggs', 'black pepper']"
British,Corned beef plate pie,"['plain flour', 'salt', 'butter', 'lard', 'egg', 'sunflower oil', 'onion', 'carrot', 'celery', 'potato', 'corned beef', 'Worcestershire sauce', 'beef stock', 'parsley', 'white pepper']"
British,Steak pasty,"['plain flour', 'baking powder', 'salt', 'butter', 'egg', 'egg', 'swede', 'potato', 'onion', 'steak', 'parsley', 'black pepper']"
British,Cornish fish stew,"['monkfish', 'gurnard', 'scallops', 'garlic', 'rosemary', 'lemon', 'olive oil', 'black pepper', 'fish', 'white wine', 'olive oil', 'onions', 'garlic', 'fennel', 'peppers', 'dried chilli', 'orange', 'saffron', 'bay leaves', 'rosemary', 'tomato purée', 'chopped tomatoes', 'mussels', 'squid', 'rapeseed oil', 'baguette', 'garlic', 'salt', 'eggs', 'saffron', 'garlic', 'chilli', 'anchovies', 'lemon', 'olive oil', 'black pepper']"
British,Cornish fish stew with garlic toast and aïoli,"['olive oil', 'red mullet', 'prawns', 'fennel', 'shallots', 'carrot', 'celery', 'tomato purée', 'tomatoes', 'star anise', 'saffron', 'cayenne pepper', 'white wine', 'stock', 'chicken stock', 'sea bass', 'cod', 'halibut', 'cockles', 'cockles', 'prawns', 'lemon', 'garlic', 'butter', 'baguette', 'garlic', 'egg yolks', 'saffron', 'olive oil', 'vegetable oil', 'white wine vinegar', 'black pepper']"
British,How to make Coronation chicken,"['chicken', 'spring onions', 'garlic', 'salt', 'peppercorns', 'vegetable oil', 'onion', 'curry powder', 'tomato purée', 'red wine', 'bay leaf', 'black pepper', 'caster sugar', 'lemon', 'lemon juice', 'mayonnaise', 'apricot', 'apricots', 'cream', 'coriander', 'rice']"
British,Coronation chicken,"['chicken breasts', 'olive oil', 'lemon', 'butter', 'shallot', 'chilli', 'curry powder', 'tomato purée', 'white wine', 'chicken stock', 'apricot jam', 'mayonnaise', 'crème fraîche', 'mango', 'spring onions', 'fresh coriander', 'Tabasco', 'black pepper', 'salad leaves', 'flaked almonds']"
British,Cottage pie with cheesy mash,"['sunflower oil', 'onion', 'celery', 'carrots', 'garlic', 'beef mince', 'red wine', 'plain flour', 'beef stock', 'tomato purée', 'herbs', 'bay leaf', 'Worcestershire sauce', 'black pepper', 'King Edward', 'butter', 'milk', 'cheddar', 'black pepper', 'Savoy cabbage']"
British,Cottage pie with leeks,"['olive oil', 'onion', 'carrot', 'beef mince', 'tomatoes', 'tomato purée', 'beef stock', 'bay leaf', 'thyme', 'black pepper', 'ketchup', 'Worcestershire sauce', 'butter', 'leeks', 'King Edward', 'cream', 'butter', 'black pepper']"
British,Cottage pie to feed a crowd,"['sunflower oil', 'onions', 'carrots', 'beef mince', 'plain flour', 'beef stock', 'tomato purée', 'Worcestershire sauce', 'parsley', 'floury potatoes', 'butter', 'milk']"
British,Budget cottage pie with baked beans,"['olive oil', 'onion', 'carrots', 'garlic', 'beef mince', 'baked beans', 'tomatoes', 'potatoes', 'milk', 'butter', 'black pepper']"
British,The best cottage pie ,"['rapeseed oil', 'beef mince', 'onions', 'cloves', 'thyme', 'tomato purée', 'beef stock', 'Worcestershire sauce', 'carrots', 'potatoes', 'butter', 'milk', 'baked beans', 'sea salt', 'black pepper']"
British,Cottage pie jacket potatoes ,"['onion', 'beef mince', 'herbs', 'chopped tomatoes', 'beef stock', 'potatoes', 'Cheddar', 'butter', 'black pepper']"
British,Mary Berry's cottage pie with dauphinoise potato ,"['oil', 'beef mince', 'onions', 'celery', 'plain flour', 'red wine', 'beef stock', 'Worcestershire sauce', 'sugar', 'thyme', 'chestnut mushrooms', 'gravy browning', 'King Edward', 'double cream', 'cheddar']"
British,Courgette and goats cheese salad,"['courgettes', 'chicory', ""goats' cheese"", 'pine nuts', 'olive oil', 'lemon juice', 'mint', 'oregano', 'black pepper']"
British,Coarse country terrine,"['pork shoulder', 'pork belly', 'bacon', 'liver', 'cloves', 'orange', 'brandy', 'sage', 'thyme', 'peppercorns', 'juniper berries', 'bacon', 'black pepper']"
British,Cow crumble,"['olive oil', 'beef', 'beef stock', 'carrots', 'celery', 'onions', 'plain flour', 'black pepper', 'thyme', 'potatoes', 'parsnips', 'butter', 'mustard seeds']"
British,Crabcakes with watercress salad,"['breadcrumbs', 'egg', 'crème fraîche', 'Worcestershire sauce', 'mustard powder', 'tarragon', 'black pepper', 'watercress']"
British,"Crabcakes with a tomato, crab and basil dressing","['crab', 'olive oil', 'carrot', 'leek', 'onion', 'flour', 'eggs', 'breadcrumbs', 'basil', 'lemon', 'black pepper']"
British,Crab fishcakes with garlic mayo,"['butter', 'pepper', 'spring onion', 'celery', 'whiting', 'egg', 'parsley', 'basil', 'Dijon mustard', 'breadcrumbs', 'salt', 'pepper', 'vegetable oil', 'egg yolks', 'garlic', 'lemon juice', 'lemon', 'salt', 'olive oil', 'vegetable oil', 'salad leaves']"
British,Crab and salmon roll with brown crab ketchup,"['salmon', 'sea salt', 'double cream', 'crab', 'coriander', 'basil', 'parsley', 'lime', 'lemon', 'puff pastry', 'egg wash', 'gelatine', 'lemon', 'crab', 'Worcestershire sauce', 'English mustard', 'anchovy essence', 'ketchup', 'egg yolk', 'breadcrumbs', 'vegetable oil', 'rapeseed oil', 'black pepper']"
British,Crab rarebit ,"['sourdough bread', 'olive oil', 'cheese', 'beer', 'English mustard', 'Tabasco', 'Worcestershire sauce', 'crab', 'crab', 'plain flour', 'egg yolk', 'chives', 'Little Gem lettuce', 'salad leaves', 'egg yolk', 'white wine vinegar', 'Dijon mustard', 'vegetable oil', 'shallot']"
British,Lighter cranachan,"['oats', 'flaked almonds', 'double cream', 'crème fraîche', 'vanilla extract', 'whisky', 'honey', 'raspberries', 'caster sugar']"
British,Cranachan,"['butter', 'sugar', 'oats', 'mascarpone', 'double cream', 'whisky', 'raspberries']"
British,Classic cranachan,"['double cream', 'oats', 'whisky', 'honey', 'raspberries', 'mint']"
British,Homemade cranberry sauce,"['cranberries', 'port', 'caster sugar', 'orange juice', 'cornflour', 'English mustard', 'lemon juice', 'cloves', 'sultanas', 'flaked almonds', 'orange', 'lemon', 'salt']"
British,Cranberry mincemeat,"['butter', 'brown sugar', 'orange juice', 'cinnamon', 'ginger', 'nutmeg', 'Bramley apples', 'sultanas', 'currants', 'raisins', 'candied peel', 'orange', 'brandy']"
British,Cranberry and pheasant sausage rolls,"['cranberries', 'pheasant', 'pork belly', 'garlic', 'thyme', 'allspice', 'berry', 'black pepper', 'plain flour', 'puff pastry', 'egg yolks', 'black sesame seeds', 'sesame seeds', 'cranberry sauce']"
British,Sprouts with crispy bacon,"['Brussels sprouts', 'lardons', 'double cream', 'garlic', 'black pepper']"
British,Creamed cauliflower and Stilton soup,"['shallot', 'butter', 'cauliflower', 'chicken stock', 'Stilton', 'double cream', 'bread']"
British,Cream roasted swede soup,"['swede', 'olive oil', 'black pepper', 'onion', 'carrots', 'celery', 'garlic', 'thyme', 'vegetable stock', 'single cream', 'thyme']"
British,Creamy cod poached with white wine and milk,"['vegetable oil', 'cod', 'salt', 'pepper', 'lemon', 'dried chilli', 'garlic', 'white wine', 'milk', 'mascarpone', 'basil']"
British,Creamy cauliflower cheese,"['cauliflower', 'cream cheese', 'Dijon mustard', 'walnuts', 'cheddar', 'salt', 'black pepper', 'watercress']"
British,Creamy parsnip and apple soup,"['butter', 'sunflower oil', 'onions', 'parsnips', 'garlic', 'Bramley apples', 'chicken stock', 'milk', 'black pepper']"
British,Cricket cake with strawberries and lemon curd ,"['eggs', 'self-raising flour', 'caster sugar', 'butter', 'lemon', 'baking powder', 'strawberries', 'double cream']"
British,Crispy haggis and potato pancake with a spinach salad and warm whisky and bacon dressing,"['olive oil', 'potatoes', 'potato', 'haggis', 'eggs', 'pancetta', 'spinach', 'mushrooms', 'chives', 'parsley', 'tomatoes', 'olive oil', 'red wine vinegar', 'mustard', 'whisky', 'black pepper']"
British,Crisp winter slaw,"['red cabbage', 'fennel', 'celery', 'apple', 'lemon', 'walnuts', 'red wine vinegar', 'salt', 'Dijon mustard', 'nut', 'walnut oil', 'Stilton']"
British,Crab rarebit with fries and a Little Gem salad,"['crabs', 'cheddar', 'milk', 'breadcrumbs', 'flour', 'Worcestershire sauce', 'egg', 'egg yolk', 'English mustard', 'butter', 'black pepper', 'vegetable oil', 'potatoes', 'Little Gem lettuces', 'olive oil', 'lemon']"
British,Crumpets,"['strong white flour', 'plain flour', 'yeast', 'caster sugar', 'milk', 'bicarbonate of soda', 'salt', 'sunflower oil']"
British,Apple and blackberry crumble,"['bramley apples', 'blackberries', 'demerara sugar', 'lemons', 'plain flour', 'butter', 'demerara sugar', 'muesli']"
British,Traditional cullen skink,"['olive oil', 'vegetables', 'white wine', 'Arbroath smokies', 'butter', 'shallots', 'leek', 'garlic', 'Arbroath smokies', 'milk', 'double cream', 'black pepper', 'Arbroath smokie', 'chives']"
British,Cullen skink,"['butter', 'vegetable oil', 'leeks', 'onions', 'fennel', 'white wine', 'smoked haddock', 'butter', 'vegetable oil', 'leeks', 'shallots', 'garlic', 'double cream', 'parsley', 'nutmeg']"
British,Cullen skink with quails’ eggs and scallops,"['milk', 'smoked haddock', 'butter', 'onion', 'potato', 'vermouth', 'stock', 'double cream', 'vegetable oil', 'scallops', 'curry powder', 'chives']"
British,Cumberland rum Nicky,"['dates', 'dried apricots', 'stem ginger', 'rum', 'brown sugar', 'butter', 'plain flour', 'icing sugar', 'butter', 'egg', 'lemon juice', 'butter', 'brown sugar', 'rum']"
British,Cup cakes,"['butter', 'caster sugar', 'vanilla essence', 'eggs', 'self-raising flour', 'icing']"
British,Cured mackerel with pickled vegetables and sweet cured gooseberries,"['mackerel', 'salt', 'sugar', 'star anise', 'black peppercorns', 'coriander seeds', 'white wine vinegar', 'carrot', 'cauliflower', 'pepper', 'pepper', 'red onion', 'courgette', 'gooseberries', 'butter', 'caster sugar', 'vanilla pod', 'gooseberries', 'wine', 'white wine vinegar', 'coriander cress', 'rocket']"
British,Curried parsnip soup,"['olive oil', 'onion', 'garlic', 'parsnips', 'thyme', 'honey', 'curry powder', 'black pepper', 'vegetable stock', 'double cream', 'oil', 'parsnip', 'beetroot', 'turnip', 'carrot', 'double cream', 'lemon']"
British,Curried cauliflower soup,"['rapeseed oil', 'onion', 'curry powder', 'cauliflower', 'milk', 'vegetable stock', 'white wine vinegar', 'sea salt', 'eggs', 'white bread', 'black pepper', 'lemon juice', 'fresh coriander']"
British,Custard tart with Garibaldi biscuits,"['butter', 'icing sugar', 'plain flour', 'egg whites', 'currants', 'flour', 'salt', 'lemon', 'butter', 'caster sugar', 'egg yolk', 'egg', 'egg yolks', 'caster sugar', 'whipping cream', 'nutmeg']"
British,Custard tart,"['shortcrust pastry', 'milk', 'double cream', 'eggs', 'egg yolks', 'caster sugar', 'nutmeg']"
British,Custard with thyme,"['egg yolks', 'caster sugar', 'thyme', 'milk', 'double cream']"
British,Custard,"['milk', 'vanilla pod', 'eggs', 'caster sugar', 'cornflour']"
British,Custard slice,"['plain flour', 'salt', 'butter', 'milk', 'vanilla pod', 'caster sugar', 'cornflour', 'butter', 'icing sugar', 'dark chocolate']"
British,"Custard tart with sugared walnuts, ice cream and caramel","['plain flour', 'caster sugar', 'butter', 'vanilla pod', 'egg', 'whipping cream', 'egg yolks', 'caster sugar', 'allspice', 'double cream', 'honey', 'walnuts', 'caster sugar', 'walnut', 'rapeseed oil', 'caramel', 'lemon balm']"
British,Date and toffee pudding with caramelised bananas and the ultimate toffee sauce ,"['rum', 'vanilla pod', 'dates', 'butter', 'brown sugar', 'eggs', 'flour', 'bicarbonate of soda', 'bananas', 'demerara sugar', 'demerara sugar', 'golden syrup', 'treacle', 'butter', 'double cream', 'salt']"
British,Deconstructed cream tea,"['strawberries', 'sugar', 'lemon juice', 'butter', 'champagne', 'strong white flour', 'baking powder', 'sugar', 'butter', 'eggs', 'milk', 'egg wash', 'clotted cream']"
British,Deep-filled homity pie,"['plain flour', 'wholemeal flour', 'butter', 'egg', 'floury potatoes', 'butter', 'sunflower oil', 'onions', 'garlic', 'spinach', 'cheddar', 'parsley', 'double cream', 'nutmeg', 'black pepper']"
British,Deep-filled lemon meringue pie,"['plain flour', 'caster sugar', 'butter', 'egg', 'cornflour', 'caster sugar', 'lemons', 'egg', 'eggs', 'eggs', 'caster sugar', 'vanilla extract']"
British,Fish and chips,"['vegetable oil', 'haddock', 'self-raising flour', 'black pepper', 'lager', 'king edward']"
British,Mary's chocolate cake,"['butter', 'caster sugar', 'eggs', 'self-raising flour', 'baking powder', 'cocoa powder', 'apricot jam', 'whipping cream']"
British,Mary Berry's orange cake,"['butter', 'caster sugar', 'eggs', 'self-raising flour', 'baking powder', 'orange', 'butter', 'icing sugar', 'orange', 'orange']"
British,Christmas red cabbage,"['sunflower oil', 'onion', 'red cabbage', 'apples', 'ginger', 'cinnamon', 'vegetable stock', 'black pepper']"
British,Devilled kidneys on toast,"['butter', 'kidneys', 'Worcestershire sauce', 'tomato purée', 'lemon juice', 'English mustard', 'cayenne pepper', 'black pepper', 'white bread', 'parsley']"
British,Easy devilled kidneys,"['kidneys', 'milk', 'plain flour', 'salt', 'paprika', 'butter', 'Worcestershire sauce', 'vegetable stock', 'Dijon mustard']"
British,Devilled herrings with green sauce,"['egg yolks', 'white wine vinegar', 'Dijon mustard', 'caster sugar', 'sea salt', 'black pepper', 'sunflower oil', 'shallot', 'garlic', 'capers', 'parsley', 'sorrel', 'mint', 'tarragon', 'lemon juice', 'herring', 'herrings', 'sunflower oil', 'plain flour', 'semolina', 'mustard powder', 'cayenne pepper', 'sea salt', 'lemon']"
British,Devilled kidneys,"['kidneys', 'plain flour', 'butter', 'onion', 'tomato purée', 'English mustard', 'Worcestershire sauce', 'bread', 'butter', 'parsley']"
British,Devilled kidneys with a green salad and sherry vinaigrette,"['butter', 'shallots', 'garlic', 'kidneys', 'mushrooms', 'brandy', 'beef stock', 'double cream', 'English mustard', 'Worcestershire sauce', 'cayenne pepper', 'olive oil', 'sourdough bread', 'parsley', 'Little Gem lettuce', 'olive oil', 'walnut oil', 'Dijon mustard', 'sherry vinegar', 'vinegar']"
British,Diggers,"['plain flour', 'caster sugar', 'oats', 'coconut', 'butter', 'golden syrup', 'bicarbonate of soda']"
British,"Dolcelatte, pear and walnut tarts","['plain flour', 'butter', 'egg', 'butter', 'olive oil', 'pears', 'eggs', 'crème fraîche', 'sage', 'Stilton', 'walnuts']"
British,Traditional shortbread ,"['butter', 'caster sugar', 'plain flour', 'rice flour', 'salt']"
British,Granola bars ,"['butter', 'brown sugar', 'honey', 'oats', 'dried cherries', 'cranberries', 'coconut', 'hazelnuts', 'double cream', 'white chocolate']"
British,Mary Berry's drop scones,"['self-raising flour', 'baking powder', 'caster sugar', 'orange', 'egg', 'milk', 'sunflower oil', 'maple syrup', 'yoghurt', 'blueberries']"
British,Duck breast with redcurrant and red wine sauce,"['duck', 'shallots', 'garlic', 'thyme', 'cherry tomatoes', 'balsamic vinegar', 'red wine', 'butter', 'redcurrant jelly']"
British,Dundee cake,"['butter', 'brown sugar', 'marmalade', 'eggs', 'self-raising flour', 'ground almonds', 'mixed spice', 'dried fruit', 'glacé cherries', 'whisky', 'almonds', 'caster sugar']"
British,Earl Grey tea bread ,"['currants', 'sultanas', 'tea', 'self-raising flour', 'sugar', 'egg']"
British,Easiest ever banana cake,"['bananas', 'eggs', 'brown sugar', 'vegetable oil', 'self-raising flour', 'mixed spice', 'baking powder']"
British,Easter simnel cake,"['glacé cherries', 'butter', 'sugar', 'eggs', 'self-raising flour', 'sultanas', 'currants', 'candied peel', 'lemons', 'mixed spice', 'marzipan', 'apricot jam', 'egg']"
British,Easy bread sauce,"['onion', 'cloves', 'bay leaf', 'black peppercorns', 'milk', 'breadcrumbs', 'butter', 'black pepper']"
British,Easy chicken pasties,"['chicken', 'lemon', 'thyme', 'parsley', 'crème fraîche', 'puff pastry', 'egg', 'black pepper']"
British,Easy chocolate trifle ,"['dark chocolate', 'custard', 'cherry brandy', 'cherries', 'double cream']"
British,Easy creamy vanilla custard,"['egg', 'cornflour', 'caster sugar', 'vanilla extract', 'milk', 'double cream']"
British,Easy lemon drizzle cake,"['butter', 'caster sugar', 'eggs', 'self-raising flour', 'lemon', 'icing sugar']"
British,Easy rhubarb cake ,"['butter', 'caster sugar', 'eggs', 'vanilla extract', 'ground almonds', 'self-raising flour', 'baking powder', 'rhubarb']"
British,Slow-cooked roast chicken with gravy,"['carrots', 'celery', 'onion', 'chicken', 'lemon', 'vegetable oil', 'black pepper', 'roasted vegetables', 'chicken stock', 'butter', 'plain flour']"
British,Spinach soup,"['olive oil', 'garlic', 'spinach', 'vegetable stock', 'eggs', 'double cream', 'black pepper']"
British,Easy sticky toffee pudding with toffee sauce,"['demerara sugar', 'dates', 'vanilla extract', 'butter', 'sugar', 'golden syrup', 'treacle', 'self-raising flour', 'eggs', 'bicarbonate of soda', 'double cream', 'demerara sugar', 'butter', 'golden syrup', 'treacle', 'ice cream']"
British,Easy vanilla cupcakes,"['butter', 'caster sugar', 'eggs', 'self-raising flour', 'vanilla extract', 'milk', 'icing sugar', 'butter', 'vanilla extract', 'milk']"
British,How to make eccles cakes,"['butter', 'brown sugar', 'currants', 'cinnamon', 'nutmeg', 'orange', 'candied peel', 'margarine', 'puff pastry', 'flour', 'milk', 'caster sugar', 'icing sugar']"
British,Eccles cakes,"['plain flour', 'salt', 'butter', 'lemon', 'currants', 'sherry', 'butter', 'peel', 'cinnamon', 'nutmeg', 'ground ginger', 'lemon', 'lemon juice', 'egg white', 'caster sugar']"
British,Egg fried ham and stuffed mushrooms,"['egg', 'plain flour', 'milk', 'ham', 'olive oil', 'mushrooms', 'parmesan', 'honey', 'rocket', 'black pepper']"
British,Eggs Florentine,"['butter', 'egg yolks', 'lemon juice', 'white pepper', 'English muffins', 'spinach', 'eggs']"
British,Eggs Arnold Bennett ,"['milk', 'smoked haddock', 'bay leaf', 'black peppercorns', 'eggs', 'butter', 'plain flour', 'cheddar', 'black pepper']"
British,Eggy bread,"['egg', 'milk', 'vegetable oil', 'bread', 'pepper', 'ketchup']"
British,Egg and bacon pie,"['sunflower oil', 'bacon', 'eggs', 'milk', 'black pepper', 'plain flour', 'sea salt', 'butter', 'egg']"
British,Egg custard tarts,"['plain flour', 'ground almonds', 'butter', 'caster sugar', 'egg', 'milk', 'egg yolks', 'caster sugar', 'nutmeg']"
British,Eggnog,"['eggs', 'caster sugar', 'milk', 'double cream', 'rum', 'nutmeg']"
British,"Bacon, egg, tomato, fried bread and mushroom velouté ","['eggs', 'bacon', 'butter', 'white bread', 'parsley', 'olive oil', 'shallot', 'garlic', 'thyme', 'bay leaf', 'tomato purée', 'tomatoes', 'mustard', 'vinegar', 'butter', 'mushrooms', 'thyme', 'garlic', 'double cream']"
British,Mary Berry's elderflower cordial ,"['caster sugar', 'lemons', 'elderflowers']"
British,Elderflower jelly with easy strawberry ice cream,"['strawberries', 'double cream', 'vanilla pod', 'elderflower', 'caster sugar', 'gelatine', 'peach', 'strawberries', 'basil', 'basil']"
British,Engagement chicken,"['chicken', 'butter', 'brioche', 'thyme', 'garlic', 'lemon', 'butter', 'chicken stock', 'plain flour', 'black pepper']"
British,Delia's parsley sauce,"['milk', 'parsley', 'bay leaf', 'onion', 'mace', 'peppercorns', 'plain flour', 'butter', 'parsley', 'single cream', 'lemon juice', 'black pepper']"
British,English muffins,"['yeast', 'salt', 'caster sugar', 'butter', 'egg', 'milk', 'oil', 'semolina']"
British,Easy Eton mess,"['strawberries', 'sugar', 'port', 'meringues', 'cream']"
British,Eton mess with ginger cordial,"['strawberries', 'double cream', 'meringue', 'ginger', 'mint']"
British,Lighter Eton mess,"['meringue', 'strawberries', 'yoghurt']"
British,Healthy cottage pie,"['beef mince', 'onion', 'celery', 'carrots', 'chopped tomatoes', 'tomato purée', 'beef stock', 'Worcestershire sauce', 'herbs', 'peas', 'black pepper', 'floury potatoes', 'leeks', 'cheddar']"
British,Eve's pudding,"['apples', 'lemon juice', 'butter', 'caster sugar', 'butter', 'caster sugar', 'self-raising flour', 'eggs', 'custard']"
British,Traditional Eve's pudding,"['apples', 'butter', 'sugar', 'lemon', 'flour', 'salt', 'baking powder', 'butter', 'sugar', 'egg', 'milk']"
British,Fabulous fish pie,"['milk', 'onion', 'white fish', 'smoked haddock', 'salmon', 'eggs', 'butter', 'plain flour', 'white wine', 'double cream', 'dill', 'black pepper', 'potatoes', 'butter', 'double cream', 'Cheddar']"
British,Faggots with onion gravy,"['butter', 'onion', 'liver', 'heart', 'pork', 'mace', 'chives', 'sage', 'egg', 'pepper', 'white bread', 'beef dripping', 'red onions', 'thyme', 'olive oil', 'beef stock', 'red wine', 'black pepper']"
British,Chocolate fairy cakes,"['butter', 'sugar', 'eggs', 'self-raising flour', 'vanilla extract', 'butter', 'icing sugar', 'cocoa powder', 'milk', 'white chocolate', 'milk chocolate']"
British,Fairy cakes,"['butter', 'caster sugar', 'eggs', 'vanilla extract', 'self-raising flour', 'milk', 'icing sugar', 'food colouring']"
British,Fakeaway fish and chips with mushy peas,"['eggs', 'white fish', 'potatoes', 'rapeseed oil', 'peas', 'crème fraîche', 'chives', 'black pepper']"
British,Fast rhubarb tart with mascarpone cream,"['rhubarb', 'brown sugar', 'puff pastry', 'butter', 'flour', 'eggs', 'caster sugar', 'mascarpone', 'vanilla extract']"
British,Fatless white sauce,"['milk', 'plain flour', 'black pepper']"
British,Fat rascal buns ,"['plain flour', 'self-raising flour', 'baking powder', 'butter', 'dried fruit', 'caster sugar', 'cinnamon', 'nutmeg', 'orange', 'lemon', 'egg', 'milk', 'egg', 'salt', 'flaked almonds']"
British,Fennel and mushroom tartlets,"['shortcrust pastry', 'mushrooms', 'red onion', 'fennel', 'garlic', 'olive oil', 'whipping cream', 'butter', 'lemon juice', 'chives', 'parsley', 'salad']"
